http://blockchain.comp.hkbu.edu.hk/publications.php/
Publications ?? Blockchain and FinTech Lab ?? Department of Computer Science, Hong Kong Baptist University
[1227, science]
[1228, a]
[1229, a]
[1230, href]
[1231, http]
[1232, www]
[1233, hkbu]
[1234, edu]
[1235, hk]
[1236, target]
[1237, _blank]
[1238, hong]
[1239, kong]
[1240, baptist]
[1241, university]
[1242, a]
[1243, span]
[1244, div]
[1245, div]
[1246, div]
[1247, footer]
[1248, jquery]
[1249, script]
[1250, src]
[1251, vendor]
[1252, jquery]
[1253, jquery]
[1254, min]
[1255, js]
[1256, script]
[1257, script]
[1258, src]
[1259, js]
[1260, jquery]
[1261, mobile]
[1262, custom]
[1263, js]
[1264, script]
[1265, bootstrap]
[1266, javascript]
[1267, script]
[1268, src]
[1269, vendor]
[1270, bootstrap]
[1271, js]
[1272, bootstrap]
[1273, min]
[1274, js]
[1275, script]
[1276, plugin]
[1277, javascript]
[1278, script]
[1279, src]
[1280, https]
[1281, cdnjs]
[1282, cloudflare]
[1283, com]
[1284, ajax]
[1285, libs]
[1286, jquery]
[1287, easing]
[1288, jquery]
[1289, easing]
[1290, min]
[1291, js]
[1292, script]
[1293, contact]
[1294, form]
[1295, javascript]
[1296, script]
[1297, src]
[1298, js]
[1299, jqbootstrapvalidation]
[1300, js]
[1301, script]
[1302, script]
[1303, src]
[1304, js]
[1305, contact_me]
[1306, js]
[1307, script]
[1308, theme]
[1309, javascript]
[1310, script]
[1311, src]
[1312, js]
[1313, agency]
[1314, min]
[1315, js]
[1316, script]
[1317, script]
[1318, type]
[1319, text]
[1320, javascript]
[1321, carousel]
[1322, carousel]
[1323, interval]
[1324, carousel]
[1325, on]
[1326, touchstart]
[1327, function]
[1328, var]
[1329, xclick]
[1330, touches]
[1331, pagex]
[1332, this]
[1333, one]
[1334, touchmove]
[1335, function]
[1336, var]
[1337, xmove]
[1338, touches]
[1339, pagex]
[1340, if]
[1341, math]
[1342, floor]
[1343, xclick]
[1344, xmove]
[1345, this]
[1346, carousel]
[1347, next]
[1348, else]
[1349, if]
[1350, math]
[1351, floor]
[1352, xclick]
[1353, xmove]
[1354, this]
[1355, carousel]
[1356, prev]
[1357, carousel]
[1358, on]
[1359, touchend]
[1360, function]
[1361, this]
[1362, off]
[1363, touchmove]
[1364, script]
[1365, global]
[1366, site]
[1367, tag]
[1368, gtag]
[1369, js]
[1370, google]
[1371, analytics]
[1372, script]
[1373, async]
[1374, src]
[1375, https]
[1376, www]
[1377, googletagmanager]
[1378, com]
[1379, gtag]
[1380, js]
[1381, id]
[1382, ua]
[1383, script]
[1384, script]
[1385, window]
[1386, datalayer]
[1387, window]
[1388, datalayer]
[1389, function]
[1390, gtag]
[1391, datalayer]
[1392, push]
[1393, arguments]
[1394, gtag]
[1395, js]
[1396, new]
[1397, date]
[1398, gtag]
[1399, config]
[1400, ua]
[1401, script]
[1402, body]
[1403, html]
