https://www.comp.hkbu.edu.hk/v1/?page=highlights
Research Highlights
[0, highlights]
[224, environment]
[225, and]
[226, non]
[227, company]
[228, news]
[229, on]
[230, stock]
[231, market]
[232, performance]
[233, a]
[234, comparative]
[235, study]
[236, of]
[237, media]
[238, sentiment]
[239, public]
[240, engagement]
[241, and]
[242, prediction]
[243, models]
[244, staff]
[245, dr]
[246, chen]
[247, li]
[248, objectives]
[249, to]
[250, analyze]
[251, the]
[252, news]
[253, coverage]
[254, by]
[255, hong]
[256, kong]
[257, media]
[258, in]
[259, past]
[260, 20]
[261, years]
[262, and]
[263, illustrate]
[264, the]
[265, longitudinal]
[266, patterns]
[267, of]
[268, news]
[269, sentiment]
[270, and]
[271, related]
[272, public]
[273, engagement]
[274, on]
[275, interactive]
[276, media]
[277, outlets]
[278, to]
[279, explore]
[280, and]
[281, discover]
[282, several]
[283, useful]
[284, non]
[285, company]
[286, specific]
[287, and]
[288, macro]
[289, environment]
[290, indicators]
[291, from]
[292, the]
[293, news]
[294, patterns]
[295, that]
[296, are]
[297, significantly]
[298, correlated]
[299, with]
[300, market]
[301, hang]
[302, seng]
[303, index]
[304, and]
[305, sub]
[306, indices]
[307, and]
[308, specific]
[309, stock]
[310, price]
[311, fluctuations]
[312, more]
[313, to]
[314, compare]
[315, predictability]
[316, and]
[317, reliability]
[318, of]
[319, the]
[320, found]
[321, non]
[322, company]
[323, specific]
[324, news]
[325, indicators]
[326, and]
[327, that]
[328, of]
[329, existing]
[330, company]
[331, specific]
[332, tools]
[333, in]
[334, financial]
[335, practices]
[336, to]
[337, develop]
[338, accurate]
[339, and]
[340, efficient]
[341, computational]
[342, methods]
[343, for]
[344, market]
[345, indicators]
[346, identification]
[347, and]
[348, media]
[349, text]
[350, analysis]
[351, user]
[352, evaluation]
[353, on]
[354, sentiment]
[355, based]
[356, recommendation]
[357, explanations]
[358, staff]
[359, dr]
[360, chen]
[361, li]
[362, objectives]
[363, to]
[364, investigate]
[365, how]
[366, review]
[367, information]
[368, could]
[369, be]
[370, exploited]
[371, to]
[372, generate]
[373, explanations]
[374, for]
[375, multiple]
[376, recommendations]
[377, especially]
[378, in]
[379, high]
[380, investment]
[381, product]
[382, domains]
[383, i]
[384, e]
[385, digital]
[386, camera]
[387, and]
[388, laptop]
[389, to]
[390, identify]
[391, the]
[392, exact]
[393, effect]
[394, of]
[395, sentiment]
[396, based]
[397, explanations]
[398, on]
[399, improving]
[400, users]
[401, decision]
[402, effectiveness]
[403, and]
[404, system]
[405, perceptions]
[406, more]
[407, to]
[408, investigate]
[409, how]
[410, users]
[411, view]
[412, information]
[413, and]
[414, compare]
[415, products]
[416, on]
[417, the]
[418, sentiment]
[419, based]
[420, explanation]
[421, interface]
[422, detecting]
[423, the]
[424, tipping]
[425, points]
[426, from]
[427, inflammation]
[428, to]
[429, tumorigenesis]
[430, using]
[431, a]
[432, multi]
[433, level]
[434, network]
[435, modeling]
[436, approach]
[437, staff]
[438, dr]
[439, cheung]
[440, william]
[441, kwok]
[442, wai]
[443, objectives]
[444, to]
[445, detect]
[446, tipping]
[447, points]
[448, by]
[449, identifying]
[450, dynamical]
[451, network]
[452, biomarker]
[453, at]
[454, molecular]
[455, network]
[456, level]
[457, by]
[458, analysing]
[459, the]
[460, omics]
[461, data]
[462, to]
[463, identify]
[464, potential]
[465, networks]
[466, associated]
[467, with]
[468, tipping]
[469, points]
[470, by]
[471, constructing]
[472, multi]
[473, level]
[474, regulatory]
[475, networks]
[476, from]
[477, heterogeneous]
[478, data]
[479, sources]
[480, and]
[481, performing]
[482, structural]
[483, analysis]
[484, on]
[485, evolving]
[486, networks]
[487, more]
[488, to]
[489, conduct]
[490, biological]
[491, experiments]
[492, for]
[493, validating]
[494, our]
[495, findings]
[496, of]
[497, potential]
[498, networks]
[499, associated]
[500, with]
[501, the]
[502, tipping]
[503, points]
[504, joint]
[505, embedding]
[506, of]
[507, sequential]
[508, data]
[509, and]
[510, knowledge]
[511, graphs]
[512, with]
[513, application]
[514, to]
[515, predictive]
[516, analytics]
[517, in]
[518, healthcare]
[519, staff]
[520, dr]
[521, cheung]
[522, william]
[523, kwok]
[524, wai]
[525, objectives]
[526, to]
[527, develop]
[528, methodologies]
[529, that]
[530, can]
[531, learn]
[532, representations]
[533, simultaneously]
[534, from]
[535, heterogeneous]
[536, clinical]
[537, events]
[538, in]
[539, the]
[540, ehr]
[541, data]
[542, and]
[543, the]
[544, medical]
[545, knowledge]
[546, graphs]
[547, for]
[548, patient]
[549, outcome]
[550, prediction]
[551, with]
[552, enhanced]
[553, interpretability]
[554, to]
[555, develop]
[556, an]
[557, interpretable]
[558, framework]
[559, to]
[560, jointly]
[561, infer]
[562, the]
[563, correspondence]
[564, among]
[565, different]
[566, modalities]
[567, in]
[568, the]
[569, heterogeneous]
[570, ehr]
[571, data]
[572, and]
[573, generate]
[574, high]
[575, throughput]
[576, phenotype]
[577, candidates]
[578, learning]
[579, discriminative]
[580, manifolds]
[581, from]
[582, multiple]
[583, data]
[584, modalities]
[585, for]
[586, multimedia]
[587, content]
[588, understanding]
[589, staff]
[590, dr]
[591, liu]
[592, yang]
[593, objectives]
[594, to]
[595, discover]
[596, the]
[597, intrinsic]
[598, structure]
[599, of]
[600, multimedia]
[601, data]
[602, with]
[603, multiple]
[604, modalities]
[605, for]
[606, multimedia]
[607, content]
[608, understanding]
[609, for]
[610, multi]
[611, label]
[612, multimedia]
[613, data]
[614, learn]
[615, the]
[616, correlation]
[617, between]
[618, different]
[619, labels]
[620, while]
[621, preserving]
[622, the]
[623, discriminative]
[624, information]
[625, for]
[626, multi]
[627, modal]
[628, multimedia]
[629, data]
[630, learn]
[631, the]
[632, consistency]
[633, between]
[634, different]
[635, modalities]
[636, while]
[637, preserving]
[638, the]
[639, discriminative]
[640, information]
[641, spatio]
[642, temporal]
[643, data]
[644, analytics]
[645, for]
[646, disease]
[647, transmission]
[648, modeling]
[649, diffusion]
[650, networks]
[651, underlying]
[652, factors]
[653, and]
[654, partial]
[655, observations]
[656, staff]
[657, prof]
[658, liu]
[659, jiming]
[660, objectives]
[661, to]
[662, infer]
[663, the]
[664, structures]
[665, of]
[666, latent]
[667, diffusion]
[668, networks]
[669, for]
[670, active]
[671, surveillance]
[672, to]
[673, reveal]
[674, the]
[675, impact]
[676, of]
[677, underlying]
[678, factors]
[679, on]
[680, geographic]
[681, variations]
[682, for]
[683, epidemic]
[684, prevention]
[685, to]
[686, derive]
[687, the]
[688, epidemic]
[689, risk]
[690, map]
[691, based]
[692, on]
[693, partial]
[694, observations]
[695, for]
[696, disease]
[697, control]
[698, towards]
[699, epidemiological]
[700, intelligence]
[701, machine]
[702, learning]
[703, and]
[704, data]
[705, driven]
[706, modeling]
[707, for]
[708, disease]
[709, surveillance]
[710, and]
[711, control]
[712, staff]
[713, prof]
[714, liu]
[715, jiming]
[716, objectives]
[717, to]
[718, tackle]
[719, the]
[720, challenges]
[721, in]
[722, infectious]
[723, disease]
[724, surveillance]
[725, and]
[726, control]
[727, via]
[728, developing]
[729, and]
[730, deploying]
[731, novel]
[732, ai]
[733, methods]
[734, and]
[735, data]
[736, driven]
[737, models]
[738, to]
[739, infer]
[740, the]
[741, underlying]
[742, diffusion]
[743, networks]
[744, of]
[745, infectious]
[746, diseases]
[747, to]
[748, assess]
[749, the]
[750, transmission]
[751, risks]
[752, of]
[753, infectious]
[754, diseases]
[755, in]
[756, different]
[757, regions]
[758, to]
[759, learn]
[760, and]
[761, deploy]
[762, optimal]
[763, strategies]
[764, for]
[765, intervention]
[766, under]
[767, limited]
[768, anti]
[769, disease]
[770, resources]
[771, big]
[772, data]
[773, and]
[774, data]
[775, management]
[776, bddm]
[777, an]
[778, exploratory]
[779, energy]
[780, study]
[781, of]
[782, the]
[783, smart]
[784, grid]
[785, and]
[786, smart]
[787, city]
[788, data]
[789, from]
[790, australia]
[791, staff]
[792, dr]
[793, choi]
[794, byron]
[795, koon]
[796, kau]
[797, objectives]
[798, to]
[799, identify]
[800, climate]
[801, variables]
[802, related]
[803, to]
[804, the]
[805, power]
[806, consumption]
[807, patterns]
[808, in]
[809, australia]
[810, to]
[811, undertake]
[812, an]
[813, exploratory]
[814, study]
[815, for]
[816, the]
[817, effectiveness]
[818, of]
[819, energy]
[820, tariff]
[821, programs]
[822, for]
[823, different]
[824, households]
[825, to]
[826, explore]
[827, options]
[828, of]
[829, energy]
[830, demand]
[831, management]
[832, for]
[833, sustainable]
[834, energy]
[835, transitions]
[836, exploratory]
[837, search]
[838, on]
[839, graph]
[840, databases]
[841, through]
[842, subgraph]
[843, query]
[844, feedback]
[845, staff]
[846, dr]
[847, choi]
[848, byron]
[849, koon]
[850, kau]
[851, objectives]
[852, to]
[853, formally]
[854, analyze]
[855, the]
[856, feedback]
[857, wifssq]
[858, and]
[859, wnssq]
[860, and]
[861, propose]
[862, novel]
[863, querying]
[864, algorithms]
[865, to]
[866, efficiently]
[867, integrate]
[868, the]
[869, feedback]
[870, as]
[871, a]
[872, generic]
[873, module]
[874, into]
[875, a]
[876, gui]
[877, for]
[878, graph]
[879, platforms]
[880, to]
[881, formulate]
[882, the]
[883, optimal]
[884, opportunities]
[885, for]
[886, delivering]
[887, feedback]
[888, to]
[889, conduct]
[890, comprehensive]
[891, performance]
[892, and]
[893, usability]
[894, evaluations]
[895, privacy]
[896, preserving]
[897, linear]
[898, algebra]
[899, framework]
[900, for]
[901, graph]
[902, query]
[903, algorithms]
[904, for]
[905, massive]
[906, networks]
[907, staff]
[908, dr]
[909, choi]
[910, byron]
[911, koon]
[912, kau]
[913, objectives]
[914, to]
[915, study]
[916, a]
[917, set]
[918, of]
[919, linear]
[920, algebra]
[921, operators]
[922, such]
[923, as]
[924, set]
[925, intersection]
[926, union]
[927, scalar]
[928, product]
[929, matrix]
[930, multiplication]
[931, addition]
[932, and]
[933, propose]
[934, the]
[935, encoding]
[936, and]
[937, encryption]
[938, for]
[939, graph]
[940, queries]
[941, to]
[942, apply]
[943, privacy]
[944, preserving]
[945, optimizations]
[946, for]
[947, the]
[948, specific]
[949, algebra]
[950, operations]
[951, to]
[952, unify]
[953, the]
[954, operations]
[955, and]
[956, develop]
[957, a]
[958, publicly]
[959, available]
[960, tool]
[961, api]
[962, efficient]
[963, graph]
[964, search]
[965, algorithms]
[966, for]
[967, public]
[968, private]
[969, social]
[970, networks]
[971, staff]
[972, dr]
[973, huang]
[974, xin]
[975, objectives]
[976, to]
[977, design]
[978, public]
[979, private]
[980, graph]
[981, models]
[982, and]
[983, collect]
[984, real]
[985, life]
[986, public]
[987, private]
[988, graph]
[989, datasets]
[990, to]
[991, investigate]
[992, efficient]
[993, algorithms]
[994, of]
[995, community]
[996, search]
[997, and]
[998, keyword]
[999, search]
[1000, on]
[1001, public]
[1002, private]
[1003, networks]
[1004, to]
[1005, develop]
[1006, a]
[1007, prototype]
[1008, system]
[1009, to]
[1010, demonstrate]
[1011, the]
[1012, feasibility]
[1013, of]
[1014, public]
[1015, private]
[1016, social]
[1017, network]
[1018, analysis]
[1019, tracking]
[1020, the]
[1021, viral]
[1022, spread]
[1023, of]
[1024, incivility]
[1025, online]
[1026, an]
[1027, interdisciplinary]
[1028, approach]
[1029, to]
[1030, studying]
[1031, profanity]
[1032, use]
[1033, in]
[1034, chinese]
[1035, language]
[1036, online]
[1037, platforms]
[1038, staff]
[1039, dr]
[1040, huang]
[1041, xin]
[1042, objectives]
[1043, to]
[1044, draw]
[1045, upon]
[1046, the]
[1047, advances]
[1048, in]
[1049, machine]
[1050, learning]
[1051, and]
[1052, natural]
[1053, language]
[1054, processing]
[1055, to]
[1056, tackle]
[1057, online]
[1058, incivility]
[1059, to]
[1060, collect]
[1061, a]
[1062, large]
[1063, corpus]
[1064, of]
[1065, profane]
[1066, speech]
[1067, from]
[1068, a]
[1069, variety]
[1070, of]
[1071, chinese]
[1072, language]
[1073, online]
[1074, platforms]
[1075, more]
[1076, to]
[1077, identify]
[1078, the]
[1079, mechanisms]
[1080, and]
[1081, processes]
[1082, behind]
[1083, the]
[1084, spread]
[1085, of]
[1086, nasty]
[1087, talk]
[1088, in]
[1089, social]
[1090, media]
[1091, at]
[1092, both]
[1093, individual]
[1094, and]
[1095, group]
[1096, levels]
[1097, and]
[1098, have]
[1099, implications]
[1100, for]
[1101, the]
[1102, development]
[1103, of]
[1104, cost]
[1105, effective]
[1106, long]
[1107, term]
[1108, solutions]
[1109, to]
[1110, online]
[1111, uncivil]
[1112, behavior]
[1113, development]
[1114, and]
[1115, evaluation]
[1116, of]
[1117, the]
[1118, effectiveness]
[1119, of]
[1120, an]
[1121, online]
[1122, cognitive]
[1123, behavioral]
[1124, intervention]
[1125, program]
[1126, for]
[1127, hong]
[1128, kong]
[1129, people]
[1130, with]
[1131, social]
[1132, anxiety]
[1133, disorder]
[1134, staff]
[1135, prof]
[1136, xu]
[1137, jianliang]
[1138, objectives]
[1139, to]
[1140, develop]
[1141, an]
[1142, online]
[1143, cognitive]
[1144, behavioral]
[1145, therapy]
[1146, cbt]
[1147, program]
[1148, including]
[1149, both]
[1150, an]
[1151, online]
[1152, platform]
[1153, and]
[1154, mobile]
[1155, application]
[1156, for]
[1157, hong]
[1158, kong]
[1159, people]
[1160, with]
[1161, social]
[1162, anxiety]
[1163, disorder]
[1164, to]
[1165, evaluate]
[1166, the]
[1167, effectiveness]
[1168, of]
[1169, this]
[1170, online]
[1171, cbt]
[1172, program]
[1173, in]
[1174, reducing]
[1175, anxiety]
[1176, symptoms]
[1177, and]
[1178, psychological]
[1179, distress]
[1180, and]
[1181, improving]
[1182, quality]
[1183, of]
[1184, life]
[1185, for]
[1186, hong]
[1187, kong]
[1188, people]
[1189, with]
[1190, social]
[1191, anxiety]
[1192, disorder]
[1193, at]
[1194, post]
[1195, treatment]
[1196, more]
[1197, to]
[1198, evaluate]
[1199, the]
[1200, maintenance]
[1201, effects]
[1202, of]
[1203, this]
[1204, online]
[1205, cbt]
[1206, program]
[1207, at]
[1208, 3]
[1209, and]
[1210, 6]
[1211, month]
[1212, follow]
[1213, up]
[1214, tests]
[1215, to]
[1216, test]
[1217, the]
[1218, predictive]
[1219, effects]
[1220, of]
[1221, sociodemographic]
[1222, factors]
[1223, e]
[1224, g]
[1225, age]
[1226, education]
[1227, marital]
[1228, and]
[1229, economic]
[1230, status]
[1231, in]
[1232, the]
[1233, treatment]
[1234, effects]
[1235, imageproof]
[1236, enabling]
[1237, authentication]
[1238, for]
[1239, large]
[1240, scale]
[1241, image]
[1242, retrieval]
[1243, staff]
[1244, prof]
[1245, xu]
[1246, jianliang]
[1247, objectives]
[1248, to]
[1249, design]
[1250, novel]
[1251, frameworks]
[1252, and]
[1253, query]
[1254, authentication]
[1255, algorithms]
[1256, for]
[1257, the]
[1258, verification]
[1259, of]
[1260, large]
[1261, scale]
[1262, image]
[1263, retrieval]
[1264, to]
[1265, propose]
[1266, novel]
[1267, adss]
[1268, and]
[1269, several]
[1270, optimization]
[1271, techniques]
[1272, for]
[1273, robust]
[1274, and]
[1275, efficient]
[1276, authenticated]
[1277, top]
[1278, k]
[1279, image]
[1280, queries]
[1281, to]
[1282, evaluate]
[1283, the]
[1284, proposed]
[1285, techniques]
[1286, by]
[1287, combining]
[1288, theoretical]
[1289, analysis]
[1290, and]
[1291, empirical]
[1292, experiments]
[1293, towards]
[1294, searchable]
[1295, and]
[1296, verifiable]
[1297, blockchain]
[1298, staff]
[1299, prof]
[1300, xu]
[1301, jianliang]
[1302, objectives]
[1303, to]
[1304, design]
[1305, a]
[1306, framework]
[1307, for]
[1308, blockchain]
[1309, to]
[1310, alleviate]
[1311, the]
[1312, storage]
[1313, and]
[1314, computing]
[1315, costs]
[1316, of]
[1317, the]
[1318, user]
[1319, and]
[1320, support]
[1321, verifiable]
[1322, boolean]
[1323, range]
[1324, queries]
[1325, to]
[1326, guarantee]
[1327, the]
[1328, results]
[1329, integrity]
[1330, to]
[1331, design]
[1332, an]
[1333, efficient]
[1334, index]
[1335, structure]
[1336, that]
[1337, supports]
[1338, range]
[1339, queries]
[1340, with]
[1341, integrity]
[1342, assurance]
[1343, in]
[1344, a]
[1345, hybrid]
[1346, storage]
[1347, blockchain]
[1348, framework]
[1349, verifiable]
[1350, attribute]
[1351, based]
[1352, search]
[1353, over]
[1354, shared]
[1355, cloud]
[1356, data]
[1357, staff]
[1358, prof]
[1359, xu]
[1360, jianliang]
[1361, objectives]
[1362, to]
[1363, design]
[1364, novel]
[1365, security]
[1366, primitives]
[1367, for]
[1368, supporting]
[1369, verifiable]
[1370, attribute]
[1371, based]
[1372, access]
[1373, control]
[1374, over]
[1375, shared]
[1376, cloud]
[1377, data]
[1378, to]
[1379, protect]
[1380, data]
[1381, content]
[1382, and]
[1383, access]
[1384, policy]
[1385, of]
[1386, outsourced]
[1387, databases]
[1388, in]
[1389, a]
[1390, zero]
[1391, knowledge]
[1392, manner]
[1393, to]
[1394, propose]
[1395, query]
[1396, authentication]
[1397, algorithms]
[1398, and]
[1399, optimization]
[1400, techniques]
[1401, for]
[1402, various]
[1403, query]
[1404, types]
[1405, more]
[1406, to]
[1407, develop]
[1408, a]
[1409, demonstration]
[1410, system]
[1411, to]
[1412, show]
[1413, the]
[1414, robustness]
[1415, and]
[1416, efficiency]
[1417, of]
[1418, our]
[1419, proposed]
[1420, techniques]
[1421, computer]
[1422, vision]
[1423, and]
[1424, pattern]
[1425, recognition]
[1426, cvpr]
[1427, interpretable]
[1428, machine]
[1429, learning]
[1430, aided]
[1431, understanding]
[1432, of]
[1433, complex]
[1434, brain]
[1435, structural]
[1436, and]
[1437, functional]
[1438, interaction]
[1439, underlying]
[1440, spectra]
[1441, of]
[1442, individual]
[1443, differences]
[1444, in]
[1445, cognitive]
[1446, behaviour]
[1447, staff]
[1448, prof]
[1449, cheung]
[1450, yiu]
[1451, ming]
[1452, objectives]
[1453, to]
[1454, develop]
[1455, a]
[1456, set]
[1457, of]
[1458, machine]
[1459, and]
[1460, deep]
[1461, learning]
[1462, models]
[1463, and]
[1464, tools]
[1465, for]
[1466, big]
[1467, brain]
[1468, data]
[1469, to]
[1470, gain]
[1471, new]
[1472, understanding]
[1473, of]
[1474, how]
[1475, the]
[1476, brain]
[1477, employ]
[1478, specific]
[1479, systems]
[1480, for]
[1481, selected]
[1482, social]
[1483, cognition]
[1484, tasks]
[1485, to]
[1486, further]
[1487, develop]
[1488, and]
[1489, apply]
[1490, methods]
[1491, to]
[1492, assess]
[1493, autistic]
[1494, trait]
[1495, on]
[1496, developing]
[1497, a]
[1498, lip]
[1499, password]
[1500, based]
[1501, face]
[1502, recognition]
[1503, system]
[1504, staff]
[1505, prof]
[1506, cheung]
[1507, yiu]
[1508, ming]
[1509, objectives]
[1510, to]
[1511, integrate]
[1512, lip]
[1513, password]
[1514, into]
[1515, the]
[1516, face]
[1517, recognition]
[1518, system]
[1519, as]
[1520, a]
[1521, single]
[1522, learning]
[1523, paradigm]
[1524, to]
[1525, select]
[1526, and]
[1527, design]
[1528, the]
[1529, underlying]
[1530, models]
[1531, and]
[1532, algorithms]
[1533, of]
[1534, building]
[1535, up]
[1536, the]
[1537, lip]
[1538, password]
[1539, based]
[1540, face]
[1541, recognition]
[1542, system]
[1543, a]
[1544, hybrid]
[1545, residual]
[1546, network]
[1547, and]
[1548, long]
[1549, short]
[1550, term]
[1551, memory]
[1552, method]
[1553, for]
[1554, peptic]
[1555, ulcer]
[1556, bleeding]
[1557, mortality]
[1558, prediction]
[1559, staff]
[1560, prof]
[1561, yuen]
[1562, pong]
[1563, chi]
[1564, objectives]
[1565, to]
[1566, design]
[1567, a]
[1568, hybrid]
[1569, residual]
[1570, network]
[1571, and]
[1572, long]
[1573, short]
[1574, term]
[1575, memory]
[1576, method]
[1577, for]
[1578, accurate]
[1579, peptic]
[1580, ulcer]
[1581, bleeding]
[1582, mortality]
[1583, prediction]
[1584, face]
[1585, anti]
[1586, spoofing]
[1587, to]
[1588, combat]
[1589, mask]
[1590, attacks]
[1591, a]
[1592, remote]
[1593, photoplethysmography]
[1594, approach]
[1595, staff]
[1596, prof]
[1597, yuen]
[1598, pong]
[1599, chi]
[1600, objectives]
[1601, to]
[1602, effectively]
[1603, detect]
[1604, the]
[1605, 3d]
[1606, mask]
[1607, attack]
[1608, with]
[1609, different]
[1610, mask]
[1611, materials]
[1612, and]
[1613, qualities]
[1614, a]
[1615, new]
[1616, liveness]
[1617, cue]
[1618, is]
[1619, proposed]
[1620, by]
[1621, analyzing]
[1622, heartbeat]
[1623, signal]
[1624, through]
[1625, remote]
[1626, photoplethysmography]
[1627, rppg]
[1628, to]
[1629, precisely]
[1630, identify]
[1631, the]
[1632, heartbeat]
[1633, vestige]
[1634, from]
[1635, the]
[1636, observed]
[1637, noisy]
[1638, rppg]
[1639, signals]
[1640, under]
[1641, practical]
[1642, lighting]
[1643, conditions]
[1644, a]
[1645, rppg]
[1646, correspondence]
[1647, feature]
[1648, for]
[1649, 3d]
[1650, mask]
[1651, face]
[1652, anti]
[1653, spoofing]
[1654, is]
[1655, proposed]
[1656, multi]
[1657, adversarial]
[1658, discriminative]
[1659, deep]
[1660, domain]
[1661, generalization]
[1662, for]
[1663, face]
[1664, presentation]
[1665, attack]
[1666, detection]
[1667, staff]
[1668, prof]
[1669, yuen]
[1670, pong]
[1671, chi]
[1672, objectives]
[1673, this]
[1674, work]
[1675, focuses]
[1676, on]
[1677, improving]
[1678, the]
[1679, generalization]
[1680, ability]
[1681, of]
[1682, face]
[1683, anti]
[1684, spoofing]
[1685, methods]
[1686, from]
[1687, the]
[1688, perspective]
[1689, of]
[1690, the]
[1691, domain]
[1692, generalization]
[1693, learning]
[1694, a]
[1695, generalized]
[1696, feature]
[1697, space]
[1698, via]
[1699, a]
[1700, novel]
[1701, multi]
[1702, adversarial]
[1703, discriminative]
[1704, deep]
[1705, domain]
[1706, generalization]
[1707, framework]
[1708, towards]
[1709, practical]
[1710, object]
[1711, trackers]
[1712, from]
[1713, feature]
[1714, combination]
[1715, to]
[1716, modality]
[1717, fusion]
[1718, staff]
[1719, prof]
[1720, yuen]
[1721, pong]
[1722, chi]
[1723, objectives]
[1724, developing]
[1725, robust]
[1726, visual]
[1727, tracking]
[1728, and]
[1729, object]
[1730, re]
[1731, detection]
[1732, framework]
[1733, based]
[1734, on]
[1735, information]
[1736, fusion]
[1737, techniques]
[1738, to]
[1739, handle]
[1740, large]
[1741, appearance]
[1742, variations]
[1743, and]
[1744, tracking]
[1745, loss]
[1746, developing]
[1747, feature]
[1748, combination]
[1749, models]
[1750, which]
[1751, can]
[1752, adaptively]
[1753, combine]
[1754, appropriate]
[1755, visual]
[1756, features]
[1757, developing]
[1758, modality]
[1759, fusion]
[1760, models]
[1761, which]
[1762, can]
[1763, exploit]
[1764, the]
[1765, complementarity]
[1766, of]
[1767, other]
[1768, non]
[1769, visual]
[1770, modalities]
[1771, data]
[1772, sources]
[1773, for]
[1774, appearance]
[1775, modeling]
[1776, unsupervised]
[1777, embedding]
[1778, learning]
[1779, via]
[1780, invariant]
[1781, and]
[1782, spreading]
[1783, instance]
[1784, feature]
[1785, staff]
[1786, prof]
[1787, yuen]
[1788, pong]
[1789, chi]
[1790, objectives]
[1791, learning]
[1792, a]
[1793, discriminative]
[1794, feature]
[1795, extraction]
[1796, deep]
[1797, neural]
[1798, network]
[1799, dnn]
[1800, with]
[1801, large]
[1802, scale]
[1803, unlabeled]
[1804, images]
[1805, such]
[1806, that]
[1807, the]
[1808, visually]
[1809, similar]
[1810, samples]
[1811, are]
[1812, close]
[1813, to]
[1814, each]
[1815, other]
[1816, in]
[1817, the]
[1818, learned]
[1819, embedding]
[1820, space]
[1821, distributed]
[1822, systems]
[1823, and]
[1824, networking]
[1825, dsan]
[1826, energy]
[1827, efficient]
[1828, training]
[1829, of]
[1830, multiple]
[1831, deep]
[1832, learning]
[1833, models]
[1834, on]
[1835, gpu]
[1836, clusters]
[1837, staff]
[1838, prof]
[1839, chu]
[1840, xiaowen]
[1841, objectives]
[1842, to]
[1843, build]
[1844, up]
[1845, an]
[1846, open]
[1847, data]
[1848, set]
[1849, of]
[1850, gpu]
[1851, performance]
[1852, and]
[1853, power]
[1854, with]
[1855, dvfs]
[1856, to]
[1857, develop]
[1858, performance]
[1859, and]
[1860, power]
[1861, models]
[1862, for]
[1863, the]
[1864, training]
[1865, jobs]
[1866, of]
[1867, deep]
[1868, learning]
[1869, models]
[1870, to]
[1871, design]
[1872, online]
[1873, algorithms]
[1874, for]
[1875, resource]
[1876, allocation]
[1877, and]
