http://blockchain.comp.hkbu.edu.hk/news.php/
News & Events ?? Blockchain and FinTech Lab ?? Department of Computer Science, Hong Kong Baptist University
[1210, tong]
[1211, university]
[1212, china]
[1213, p]
[1214, p]
[1215, class]
[1216, news]
[1217, grid]
[1218, date]
[1219, jan]
[1220, p]
[1221, div]
[1222, div]
[1223, div]
[1224, div]
[1225, class]
[1226, row]
[1227, div]
[1228, class]
[1229, col]
[1230, md]
[1231, col]
[1232, sm]
[1233, portfolio]
[1234, item]
[1235, a]
[1236, href]
[1237, news_detail]
[1238, php]
[1239, id]
[1240, class]
[1241, portfolio]
[1242, link]
[1243, data]
[1244, toggle]
[1245, modal]
[1246, target]
[1247, _self]
[1248, img]
[1249, src]
[1250, img]
[1251, news_]
[1252, jpg]
[1253, class]
[1254, img]
[1255, responsive]
[1256, news]
[1257, img]
[1258, alt]
[1259, the]
[1260, lab]
[1261, receives]
[1262, hk]
[1263, million]
[1264, donation]
[1265, from]
[1266, digital]
[1267, blockchain]
[1268, technology]
[1269, limited]
[1270, to]
[1271, develop]
[1272, blockchain]
[1273, technologies]
[1274, a]
[1275, div]
[1276, class]
[1277, portfolio]
[1278, caption]
[1279, h]
[1280, class]
[1281, news]
[1282, grid]
[1283, title]
[1284, a]
[1285, href]
[1286, news_detail]
[1287, php]
[1288, id]
[1289, target]
[1290, _self]
[1291, class]
[1292, portfolio]
[1293, link]
[1294, data]
[1295, toggle]
[1296, modal]
[1297, the]
[1298, lab]
[1299, receives]
[1300, hk]
[1301, million]
[1302, donation]
[1303, from]
[1304, digital]
[1305, blockchain]
[1306, technology]
[1307, limited]
[1308, to]
[1309, develop]
[1310, blockchain]
[1311, technologies]
[1312, a]
[1313, h]
[1314, p]
[1315, class]
[1316, news]
[1317, grid]
[1318, content]
[1319, text]
[1320, muted]
[1321, the]
[1322, lab]
[1323, recently]
[1324, received]
[1325, a]
[1326, donation]
[1327, pledge]
[1328, of]
[1329, hk]
[1330, million]
[1331, from]
[1332, digital]
[1333, blockchain]
[1334, technology]
[1335, limited]
[1336, p]
[1337, p]
[1338, class]
[1339, news]
[1340, grid]
[1341, date]
[1342, jul]
[1343, p]
[1344, div]
[1345, div]
[1346, div]
[1347, class]
[1348, col]
[1349, md]
[1350, col]
[1351, sm]
[1352, portfolio]
[1353, item]
[1354, a]
[1355, href]
[1356, news_detail]
[1357, php]
[1358, id]
[1359, class]
[1360, portfolio]
[1361, link]
[1362, data]
[1363, toggle]
[1364, modal]
[1365, target]
[1366, _self]
[1367, img]
[1368, src]
[1369, img]
[1370, news_]
[1371, jpg]
[1372, class]
[1373, img]
[1374, responsive]
[1375, news]
[1376, img]
[1377, alt]
[1378, lab]
[1379, team]
[1380, won]
[1381, first]
[1382, class]
[1383, award]
[1384, in]
[1385, supercomputer]
[1386, challenge]
[1387, a]
[1388, div]
[1389, class]
[1390, portfolio]
[1391, caption]
[1392, h]
[1393, class]
[1394, news]
[1395, grid]
[1396, title]
[1397, a]
[1398, href]
[1399, news_detail]
[1400, php]
[1401, id]
[1402, target]
[1403, _self]
[1404, class]
[1405, portfolio]
[1406, link]
[1407, data]
[1408, toggle]
[1409, modal]
[1410, lab]
[1411, team]
[1412, won]
[1413, first]
[1414, class]
[1415, award]
[1416, in]
[1417, supercomputer]
[1418, challenge]
[1419, a]
[1420, h]
[1421, p]
[1422, class]
[1423, news]
[1424, grid]
[1425, content]
[1426, text]
[1427, muted]
[1428, a]
[1429, team]
[1430, of]
[1431, lab]
[1432, won]
[1433, the]
[1434, first]
[1435, class]
[1436, award]
[1437, in]
[1438, the]
[1439, supercomputer]
[1440, challenge]
[1441, held]
[1442, in]
[1443, may]
[1444, p]
[1445, p]
[1446, class]
[1447, news]
[1448, grid]
[1449, date]
[1450, jun]
[1451, p]
[1452, div]
[1453, div]
[1454, div]
[1455, class]
[1456, col]
[1457, md]
[1458, col]
[1459, sm]
[1460, portfolio]
[1461, item]
[1462, a]
[1463, href]
[1464, news_detail]
[1465, php]
[1466, id]
[1467, class]
[1468, portfolio]
[1469, link]
[1470, data]
[1471, toggle]
[1472, modal]
[1473, target]
[1474, _self]
[1475, img]
[1476, src]
[1477, img]
[1478, news_]
[1479, jpg]
[1480, class]
[1481, img]
[1482, responsive]
[1483, news]
[1484, img]
[1485, alt]
[1486, lab]
[1487, won]
[1488, rd]
[1489, prize]
[1490, in]
[1491, hsbc]
[1492, fintech]
[1493, safeguard]
[1494, app]
[1495, competition]
[1496, a]
[1497, div]
[1498, class]
[1499, portfolio]
[1500, caption]
[1501, h]
[1502, class]
[1503, news]
[1504, grid]
[1505, title]
[1506, a]
[1507, href]
[1508, news_detail]
[1509, php]
[1510, id]
[1511, target]
[1512, _self]
[1513, class]
[1514, portfolio]
[1515, link]
[1516, data]
[1517, toggle]
[1518, modal]
[1519, lab]
[1520, won]
[1521, rd]
[1522, prize]
[1523, in]
[1524, hsbc]
[1525, fintech]
[1526, safeguard]
[1527, app]
[1528, competition]
[1529, a]
[1530, h]
[1531, p]
[1532, class]
[1533, news]
[1534, grid]
[1535, content]
[1536, text]
[1537, muted]
[1538, a]
[1539, team]
[1540, of]
[1541, lab]
[1542, won]
[1543, rd]
[1544, prize]
[1545, in]
[1546, hsbc]
[1547, fintech]
[1548, safeguard]
[1549, app]
[1550, competition]
[1551, held]
[1552, in]
[1553, november]
[1554, to]
[1555, december]
[1556, p]
[1557, p]
[1558, class]
[1559, news]
[1560, grid]
[1561, date]
[1562, dec]
[1563, p]
[1564, div]
[1565, div]
[1566, div]
[1567, div]
[1568, class]
[1569, row]
[1570, div]
[1571, div]
[1572, section]
[1573, footer]
[1574, div]
[1575, class]
[1576, container]
[1577, div]
[1578, class]
[1579, row]
[1580, div]
[1581, class]
[1582, col]
[1583, md]
[1584, div]
[1585, class]
[1586, row]
[1587, div]
[1588, class]
[1589, col]
[1590, md]
[1591, a]
[1592, href]
[1593, http]
[1594, www]
[1595, hkbu]
[1596, edu]
[1597, hk]
[1598, target]
[1599, _blank]
[1600, img]
[1601, src]
[1602, img]
[1603, logo]
[1604, png]
[1605, title]
[1606, hong]
[1607, kong]
[1608, baptist]
[1609, university]
[1610, alt]
[1611, hong]
[1612, kong]
[1613, baptist]
[1614, university]
[1615, a]
[1616, div]
[1617, div]
[1618, class]
[1619, col]
[1620, md]
[1621, a]
[1622, href]
[1623, http]
[1624, www]
[1625, comp]
[1626, hkbu]
[1627, edu]
[1628, hk]
[1629, target]
[1630, _blank]
[1631, img]
[1632, src]
[1633, img]
[1634, logo]
[1635, png]
[1636, title]
[1637, department]
[1638, of]
[1639, computer]
[1640, science]
[1641, alt]
[1642, department]
[1643, of]
[1644, computer]
[1645, science]
[1646, a]
[1647, div]
[1648, div]
[1649, div]
[1650, div]
[1651, class]
[1652, col]
[1653, md]
[1654, foot]
[1655, note]
[1656, style]
[1657, text]
[1658, align]
[1659, right]
[1660, br]
[1661, br]
[1662, span]
[1663, class]
[1664, copyright]
[1665, copyright]
[1666, copy]
[1667, all]
[1668, rights]
[1669, reserved]
[1670, a]
[1671, href]
[1672, http]
[1673, www]
[1674, hkbu]
[1675, edu]
[1676, hk]
[1677, eng]
[1678, about]
[1679, privacy]
[1680, jsp]
[1681, target]
[1682, _blank]
[1683, privacy]
[1684, policy]
[1685, a]
[1686, br]
[1687, a]
[1688, href]
[1689, http]
[1690, www]
[1691, comp]
[1692, hkbu]
[1693, edu]
[1694, hk]
[1695, target]
[1696, _blank]
[1697, department]
[1698, of]
[1699, computer]
[1700, science]
[1701, a]
[1702, a]
[1703, href]
[1704, http]
[1705, www]
[1706, hkbu]
[1707, edu]
[1708, hk]
[1709, target]
[1710, _blank]
[1711, hong]
[1712, kong]
[1713, baptist]
[1714, university]
[1715, a]
[1716, span]
[1717, div]
[1718, div]
[1719, div]
[1720, footer]
[1721, jquery]
[1722, script]
[1723, src]
[1724, vendor]
[1725, jquery]
[1726, jquery]
[1727, min]
[1728, js]
[1729, script]
[1730, script]
[1731, src]
[1732, js]
[1733, jquery]
[1734, mobile]
[1735, custom]
[1736, js]
[1737, script]
[1738, bootstrap]
[1739, javascript]
[1740, script]
[1741, src]
[1742, vendor]
[1743, bootstrap]
[1744, js]
[1745, bootstrap]
[1746, min]
[1747, js]
[1748, script]
[1749, plugin]
[1750, javascript]
[1751, script]
[1752, src]
[1753, https]
[1754, cdnjs]
[1755, cloudflare]
[1756, com]
[1757, ajax]
[1758, libs]
[1759, jquery]
[1760, easing]
[1761, jquery]
[1762, easing]
[1763, min]
[1764, js]
[1765, script]
[1766, contact]
[1767, form]
[1768, javascript]
[1769, script]
[1770, src]
[1771, js]
[1772, jqbootstrapvalidation]
[1773, js]
[1774, script]
[1775, script]
[1776, src]
[1777, js]
[1778, contact_me]
[1779, js]
[1780, script]
[1781, theme]
[1782, javascript]
[1783, script]
[1784, src]
[1785, js]
[1786, agency]
[1787, min]
[1788, js]
[1789, script]
[1790, script]
[1791, type]
[1792, text]
[1793, javascript]
[1794, carousel]
[1795, carousel]
[1796, interval]
[1797, carousel]
[1798, on]
[1799, touchstart]
[1800, function]
[1801, var]
[1802, xclick]
[1803, touches]
[1804, pagex]
[1805, this]
[1806, one]
[1807, touchmove]
[1808, function]
[1809, var]
[1810, xmove]
[1811, touches]
[1812, pagex]
[1813, if]
[1814, math]
[1815, floor]
[1816, xclick]
[1817, xmove]
[1818, this]
[1819, carousel]
[1820, next]
[1821, else]
[1822, if]
[1823, math]
[1824, floor]
[1825, xclick]
[1826, xmove]
[1827, this]
[1828, carousel]
[1829, prev]
[1830, carousel]
[1831, on]
[1832, touchend]
[1833, function]
[1834, this]
[1835, off]
[1836, touchmove]
[1837, script]
[1838, global]
[1839, site]
[1840, tag]
[1841, gtag]
[1842, js]
[1843, google]
[1844, analytics]
[1845, script]
[1846, async]
[1847, src]
[1848, https]
[1849, www]
[1850, googletagmanager]
[1851, com]
[1852, gtag]
[1853, js]
[1854, id]
[1855, ua]
[1856, script]
[1857, script]
[1858, window]
[1859, datalayer]
[1860, window]
[1861, datalayer]
[1862, function]
[1863, gtag]
[1864, datalayer]
[1865, push]
[1866, arguments]
[1867, gtag]
[1868, js]
[1869, new]
[1870, date]
[1871, gtag]
[1872, config]
[1873, ua]
[1874, script]
[1875, body]
[1876, html]
